CLAIM DATE,TRADECODE,STATE,Completed,EasePlacing,TimetoSolution,CompleteSolution,ContractorKnowledge,ProfessionalContracter,KeptInformed,OverallSat,RenewalLiklhd,channel,cont_id,q10new,RenewalDate,Renewal,CustSatQual
1/2/2013,M,OH,2,5,4,4,4,4,3,2,5,Renewal,10009815206,9,NA,0,Dissatisfied
1/2/2013,Plumbing,CA,1,5,1,5,5,5,1,1,1,Real Estate,10333966701,2,NA,0,Very Dissatisfied
1/2/2013,Air Conditioning,MS,1,5,5,5,5,5,5,5,5,Direct To Consumer,10079690403,10,NA,0,Very Satisfied
1/2/2013,Plumbing,VA,2,4,1,3,3,5,3,1,2,Real Estate,10332376801,3,NA,0,Very Dissatisfied
1/2/2013,Appliance,OH,1,5,5,5,5,5,5,5,5,Real Estate,10332641301,10,NA,0,Very Satisfied
1/2/2013,Air Conditioning,GA,2,5,1,1,1,1,2,1,1,Renewal,10259800104,2,NA,0,Very Dissatisfied
1/2/2013,M,CA,1,4,5,5,5,4,3,5,5,Real Estate,10355159501,9,NA,0,Very Satisfied
1/3/2013,Appliance,TX,1,4,4,4,5,5,4,5,1,Real Estate,10350427301,4,NA,0,Very Satisfied
1/3/2013,M,CA,1,NA,NA,NA,NA,NA,NA,3,NA,Real Estate,10332490701,5,NA,0,Neutral
1/3/2013,Garage Door Opener,UT,1,5,5,5,4,3,9,3,3,Real Estate,10344532201,5,NA,0,Neutral
1/3/2013,Plumbing,CA,2,4,4,2,4,4,4,4,4,Real Estate,10353723501,8,NA,0,Satisfied
1/3/2013,Air Conditioning,AZ,1,4,4,5,4,4,4,5,2,Real Estate,10334569701,8,NA,0,Very Satisfied
1/3/2013,Air Conditioning,TX,1,5,5,5,5,5,5,5,5,Direct To Consumer,10346441201,10,NA,0,Very Satisfied
1/3/2013,Air Conditioning,TX,2,4,3,2,2,3,1,2,1,Renewal,10311947502,3,NA,0,Dissatisfied
1/3/2013,Air Conditioning,TX,1,3,3,9,9,5,5,3,1,Renewal,10290189603,6,NA,0,Neutral
1/3/2013,Appliance,CA,2,3,3,2,3,3,2,3,3,Real Estate,10333343801,6,NA,0,Neutral
1/3/2013,Appliance,TN,1,NA,NA,NA,NA,NA,NA,2,NA,Real Estate,10346362001,4,NA,0,Dissatisfied
1/3/2013,Plumbing,CA,2,1,2,9,9,9,2,3,1,Real Estate,10359386201,4,NA,0,Neutral
1/3/2013,M,CA,2,1,1,1,1,1,1,1,1,Direct To Consumer,10337250001,0,NA,0,Very Dissatisfied
1/3/2013,M,CA,1,5,5,4,5,5,4,4,5,Renewal,10275409803,9,NA,0,Satisfied
1/3/2013,Plumbing,SC,1,5,5,5,5,5,5,5,5,Real Estate,10345210301,10,NA,0,Very Satisfied
1/4/2013,Plumbing,CA,1,NA,NA,NA,NA,NA,NA,5,NA,Real Estate,10356054001,10,NA,0,Very Satisfied
1/4/2013,Air Conditioning,OR,1,5,2,5,5,5,3,4,1,Real Estate,10327855901,9,NA,0,Satisfied
1/4/2013,Air Conditioning,CA,1,NA,NA,NA,NA,NA,NA,9,1,Real Estate,10359821901,2,NA,0,Very Dissatisfied
1/4/2013,Pool or Spa,CA,1,NA,NA,NA,NA,NA,NA,5,NA,Real Estate,10333141601,9,NA,0,Very Satisfied
1/4/2013,Plumbing,TX,1,4,2,2,2,2,2,3,2,Real Estate,10357532601,6,NA,0,Neutral
1/4/2013,M,OH,2,3,1,1,1,1,1,2,1,Real Estate,10263655601,3,NA,0,Dissatisfied
1/4/2013,Appliance,VA,1,1,3,3,5,5,2,4,1,Real Estate,10301071801,1,NA,0,Satisfied
1/4/2013,Plumbing,CA,2,NA,NA,NA,NA,NA,NA,NA,NA,Renewal,10263059604,NA,NA,0,Very Dissatisfied
1/4/2013,Plumbing,CA,2,5,5,5,5,5,5,5,2,Real Estate,10343364001,10,NA,0,Very Satisfied
1/4/2013,Plumbing,TX,1,NA,NA,NA,NA,NA,NA,NA,NA,Direct To Consumer,10353494601,NA,NA,0,Very Dissatisfied
1/4/2013,Plumbing,AZ,2,4,2,1,3,4,2,1,1,Real Estate,10330396901,0,NA,0,Very Dissatisfied
1/4/2013,Plumbing,CA,2,4,NA,NA,NA,NA,NA,1,1,Renewal,10283840603,2,NA,0,Very Dissatisfied
1/4/2013,Plumbing,TX,1,3,1,1,1,1,1,5,1,Real Estate,10356722901,0,NA,0,Very Satisfied
1/4/2013,Appliance,AZ,1,5,NA,NA,NA,NA,NA,5,5,Real Estate,10360170901,9,NA,0,Very Satisfied
1/5/2013,Plumbing,CA,1,1,1,1,1,1,1,1,1,Renewal,10320434502,0,NA,0,Very Dissatisfied
1/5/2013,Appliance,OH,2,5,1,1,5,5,1,1,1,Renewal,10245115505,0,NA,0,Very Dissatisfied
1/5/2013,Appliance,TX,1,5,5,5,5,5,5,5,5,Direct To Consumer,10347222101,10,NA,0,Very Satisfied
1/5/2013,Air Conditioning,CA,1,3,1,1,1,1,1,1,1,Renewal,10223586705,1,NA,0,Very Dissatisfied
1/5/2013,Appliance,NC,1,5,5,5,5,5,5,5,3,Real Estate,10342670601,9,NA,0,Very Satisfied
1/5/2013,Garage Door Opener,CA,1,4,3,3,4,4,3,2,1,Real Estate,10340076601,6,NA,0,Dissatisfied
1/5/2013,M,WV,1,1,1,5,5,5,2,2,1,Real Estate,10349773301,2,NA,0,Dissatisfied
1/5/2013,Plumbing,TX,1,3,2,5,5,5,3,4,4,Real Estate,10352862701,8,NA,0,Satisfied
1/5/2013,Plumbing,OR,1,NA,NA,NA,NA,NA,NA,NA,NA,Real Estate,10336405501,NA,NA,0,Very Dissatisfied
1/6/2013,Plumbing,CA,1,5,5,5,5,5,5,5,1,Real Estate,10334018201,10,NA,0,Very Satisfied
1/6/2013,M,UT,1,5,5,5,4,4,5,5,5,Real Estate,10345160001,10,NA,0,Very Satisfied
1/6/2013,Plumbing,FL,2,NA,NA,NA,NA,NA,NA,NA,NA,Renewal,10294512003,NA,NA,0,Very Dissatisfied
1/6/2013,Plumbing,AZ,1,5,5,5,5,5,5,5,5,Real Estate,10360243601,10,NA,0,Very Satisfied
1/6/2013,M,AZ,1,NA,NA,NA,NA,NA,NA,5,NA,Real Estate,10330335601,6,NA,0,Very Satisfied
1/7/2013,Air Conditioning,CA,2,3,1,1,1,1,1,1,1,Renewal,10294934103,0,NA,0,Very Dissatisfied
1/7/2013,Pool or Spa,TX,2,5,5,3,4,4,4,3,5,Renewal,10296758603,8,NA,0,Neutral
1/7/2013,Air Conditioning,NM,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10348875901,9,NA,0,Satisfied
1/7/2013,Garage Door Opener,TX,1,4,5,5,5,5,5,5,4,Real Estate,10333856201,9,NA,0,Very Satisfied
1/7/2013,Air Conditioning,VA,2,5,1,3,2,3,2,2,3,Real Estate,10359906101,5,NA,0,Dissatisfied
1/7/2013,Air Conditioning,VA,2,5,1,1,1,2,3,1,3,Real Estate,10359545601,97,NA,0,Very Dissatisfied
1/7/2013,Appliance,MD,2,4,4,9,5,5,4,4,3,Renewal,10265945904,5,NA,0,Satisfied
1/7/2013,Appliance,MI,1,4,2,4,4,4,2,4,4,Renewal,10080626806,8,NA,0,Satisfied
1/7/2013,Appliance,CA,2,4,4,1,1,1,1,1,1,Real Estate,10358921801,1,NA,0,Very Dissatisfied
1/7/2013,Electrical,CA,1,3,1,1,1,1,1,1,1,Real Estate,10345797501,2,NA,0,Very Dissatisfied
1/7/2013,Appliance,CA,1,5,5,4,5,5,5,4,5,Direct To Consumer,10338992301,10,NA,0,Satisfied
1/7/2013,Appliance,FL,1,NA,NA,NA,NA,NA,NA,NA,NA,Real Estate,10333618301,NA,NA,0,Very Dissatisfied
1/7/2013,Air Conditioning,AZ,1,1,2,2,4,4,3,2,1,Renewal,10297151503,0,NA,0,Dissatisfied
1/7/2013,Electrical,AR,2,5,1,1,1,1,1,1,1,Real Estate,10360069601,0,NA,0,Very Dissatisfied
1/8/2013,Appliance,CA,2,4,4,4,4,4,1,2,3,Renewal,10169317715,7,NA,0,Dissatisfied
1/8/2013,Plumbing,NV,1,4,1,1,1,1,1,1,1,Direct To Consumer,10351475801,1,NA,0,Very Dissatisfied
1/8/2013,Air Conditioning,TX,1,5,3,5,5,5,5,5,5,Renewal,10329211202,10,NA,0,Very Satisfied
1/8/2013,Plumbing,AZ,1,5,5,5,5,5,5,5,5,Renewal,10291343303,10,NA,0,Very Satisfied
1/8/2013,Plumbing,CA,1,4,4,5,5,5,3,4,3,Real Estate,10351753201,8,NA,0,Satisfied
1/8/2013,Air Conditioning,DE,1,5,5,5,5,5,5,5,5,Renewal,10301830402,10,NA,0,Very Satisfied
1/8/2013,Plumbing,CA,1,5,5,3,5,3,1,5,4,Real Estate,10359748901,10,NA,0,Very Satisfied
1/8/2013,Air Conditioning,TX,1,4,3,3,3,4,3,4,3,Real Estate,10343465401,6,NA,0,Satisfied
1/8/2013,Plumbing,KY,1,1,1,4,9,9,4,2,1,Real Estate,10356861101,3,NA,0,Dissatisfied
1/8/2013,Electrical,CA,1,NA,NA,NA,NA,NA,NA,5,4,Real Estate,10356447701,8,NA,0,Very Satisfied
1/8/2013,M,CA,1,3,4,3,2,1,2,5,1,Real Estate,10336307801,4,NA,0,Very Satisfied
1/8/2013,Appliance,UT,1,1,3,1,1,3,1,1,1,Real Estate,10357656601,0,NA,0,Very Dissatisfied
1/8/2013,Air Conditioning,ID,1,5,3,3,3,1,3,4,3,Renewal,10328521802,7,NA,0,Satisfied
1/8/2013,Air Conditioning,CA,1,5,4,3,3,1,2,2,5,Real Estate,10354961201,10,NA,0,Dissatisfied
1/8/2013,Electrical,CA,1,2,2,2,1,1,1,2,3,Real Estate,10356087001,4,NA,0,Dissatisfied
1/8/2013,Air Conditioning,GA,1,3,5,5,5,5,4,4,4,Real Estate,10343755701,9,NA,0,Satisfied
1/8/2013,Appliance,OR,1,4,4,5,5,5,4,5,4,Real Estate,10342400501,9,NA,0,Very Satisfied
1/9/2013,Air Conditioning,TX,1,4,3,1,5,5,1,1,1,Real Estate,10333733101,3,NA,0,Very Dissatisfied
1/9/2013,Air Conditioning,CA,1,5,5,5,5,5,9,5,5,Real Estate,10352440101,10,NA,0,Very Satisfied
1/9/2013,Plumbing,CA,1,5,4,4,4,5,4,5,4,Real Estate,10340545101,9,NA,0,Very Satisfied
1/9/2013,Air Conditioning,AZ,1,5,5,5,5,5,5,5,5,Renewal,10272311704,10,NA,0,Very Satisfied
1/9/2013,Appliance,FL,1,3,3,3,4,4,9,3,2,Real Estate,10342956601,5,NA,0,Neutral
1/9/2013,Electrical,CA,1,2,4,4,4,4,4,5,4,Renewal,10189718406,6,NA,0,Very Satisfied
1/9/2013,Air Conditioning,VA,1,NA,NA,NA,NA,NA,NA,NA,NA,Real Estate,10360128001,NA,NA,0,Very Dissatisfied
1/9/2013,Pool or Spa,CA,2,3,1,1,9,1,1,1,1,Real Estate,10333180501,0,NA,0,Very Dissatisfied
1/10/2013,M,AZ,1,5,4,2,5,5,4,4,3,Real Estate,10334976901,5,NA,0,Satisfied
1/10/2013,Air Conditioning,CA,1,NA,NA,NA,NA,NA,NA,5,NA,Renewal,10253217104,9,NA,0,Very Satisfied
1/10/2013,Appliance,NC,1,4,5,5,5,5,5,5,5,Real Estate,10360733201,10,NA,0,Very Satisfied
1/10/2013,Pool or Spa,CA,1,5,5,5,5,5,5,5,4,Real Estate,10358749501,10,NA,0,Very Satisfied
1/10/2013,Appliance,NM,1,4,5,5,3,4,3,4,3,Renewal,10308013502,8,NA,0,Satisfied
1/10/2013,Air Conditioning,NV,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10349159401,10,NA,0,Satisfied
1/10/2013,Appliance,VA,2,1,1,1,9,1,1,1,1,Real Estate,10356485101,0,NA,0,Very Dissatisfied
1/10/2013,M,KY,1,5,5,5,5,5,5,5,5,Renewal,10271074704,10,NA,0,Very Satisfied
1/10/2013,M,VA,1,5,NA,NA,NA,NA,NA,5,5,Direct To Consumer,10355407301,10,NA,0,Very Satisfied
1/10/2013,Plumbing,CA,1,5,3,5,4,3,3,5,5,Real Estate,10353230001,10,NA,0,Very Satisfied
1/11/2013,Air Conditioning,CA,1,5,1,1,1,1,1,1,1,Renewal,10308843402,0,NA,0,Very Dissatisfied
1/11/2013,Appliance,AZ,2,2,1,1,9,2,4,1,1,Real Estate,10344601301,2,NA,0,Very Dissatisfied
1/11/2013,Plumbing,AZ,1,4,4,4,3,3,3,3,3,Real Estate,10360685801,5,NA,0,Neutral
1/11/2013,Plumbing,NJ,1,5,5,5,5,5,5,5,5,Real Estate,10359827901,10,NA,0,Very Satisfied
1/11/2013,Air Conditioning,CA,1,3,1,1,1,1,1,1,1,Direct To Consumer,10341223401,0,NA,0,Very Dissatisfied
1/11/2013,M,TX,1,4,2,2,5,5,3,2,3,Renewal,10276627404,7,NA,0,Dissatisfied
1/11/2013,Air Conditioning,CA,1,5,5,5,5,5,9,5,3,Renewal,10300703703,10,NA,0,Very Satisfied
1/11/2013,Air Conditioning,UT,1,5,5,5,5,5,5,5,5,Real Estate,10345251201,10,NA,0,Very Satisfied
1/11/2013,Appliance,UT,1,5,5,5,3,2,5,5,3,Real Estate,10356878901,10,NA,0,Very Satisfied
1/11/2013,Plumbing,TX,2,2,1,1,2,2,1,1,1,Direct To Consumer,10335474701,1,NA,0,Very Dissatisfied
1/12/2013,Air Conditioning,AZ,1,5,5,5,5,5,5,5,5,Renewal,10236811205,10,NA,0,Very Satisfied
1/12/2013,Air Conditioning,MS,1,3,3,3,4,5,3,2,5,Renewal,10257680104,7,NA,0,Dissatisfied
1/12/2013,Air Conditioning,CA,1,5,5,5,5,5,5,5,3,Real Estate,10340634001,10,NA,0,Very Satisfied
1/12/2013,Electrical,CA,2,5,4,9,4,4,5,4,5,Real Estate,10360164901,9,NA,0,Satisfied
1/12/2013,Air Conditioning,CA,1,5,5,5,5,5,5,5,5,Renewal,10170810908,10,NA,0,Very Satisfied
1/12/2013,Plumbing,CA,2,3,1,1,1,1,1,1,1,Renewal,10173657010,1,NA,0,Very Dissatisfied
1/13/2013,Air Conditioning,TX,1,4,1,9,9,9,9,1,1,Real Estate,10334309201,0,NA,0,Very Dissatisfied
1/13/2013,Air Conditioning,AZ,1,5,5,5,5,5,5,5,4,Renewal,10324056102,9,NA,0,Very Satisfied
1/13/2013,Air Conditioning,CA,2,4,2,1,3,3,1,3,4,Real Estate,10356246601,9,NA,0,Neutral
1/13/2013,Plumbing,TX,1,5,5,5,5,5,5,5,5,Renewal,10300435203,9,NA,0,Very Satisfied
1/14/2013,M,TX,2,NA,NA,NA,NA,NA,NA,NA,NA,Renewal,10309570202,NA,NA,0,Very Dissatisfied
1/14/2013,Plumbing,CA,1,3,1,1,1,1,2,1,1,Renewal,10166953915,0,NA,0,Very Dissatisfied
1/14/2013,Air Conditioning,CA,2,3,1,1,1,1,1,1,2,Direct To Consumer,10358938901,1,NA,0,Very Dissatisfied
1/14/2013,M,CA,2,NA,NA,NA,NA,NA,NA,1,NA,Renewal,10303212102,0,NA,0,Very Dissatisfied
1/14/2013,Plumbing,CA,2,4,1,1,1,3,1,1,2,Direct To Consumer,10171302018,0,NA,0,Very Dissatisfied
1/14/2013,Air Conditioning,TN,2,3,1,1,2,2,2,1,2,Renewal,10289593703,0,NA,0,Very Dissatisfied
1/14/2013,Electrical,VA,1,5,5,5,5,5,5,5,5,Direct To Consumer,10358029901,10,NA,0,Very Satisfied
1/14/2013,Air Conditioning,PA,1,3,1,1,3,2,1,1,1,Real Estate,10341175701,0,NA,0,Very Dissatisfied
1/14/2013,Garage Door Opener,CA,1,5,1,1,5,5,1,2,2,Direct To Consumer,10338030201,4,NA,0,Dissatisfied
1/14/2013,M,TX,1,3,1,3,4,4,1,1,3,Real Estate,10350178901,4,NA,0,Very Dissatisfied
1/14/2013,Air Conditioning,CA,2,4,3,1,3,4,3,1,1,Renewal,10329845402,0,NA,0,Very Dissatisfied
1/14/2013,Air Conditioning,OR,1,5,1,3,3,3,2,1,3,Real Estate,10339313101,5,NA,0,Very Dissatisfied
1/14/2013,Air Conditioning,CA,2,4,1,2,4,4,3,4,4,Real Estate,10334681201,7,NA,0,Satisfied
1/14/2013,Electrical,TX,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10355567901,6,NA,0,Satisfied
1/14/2013,Air Conditioning,CA,2,4,1,1,1,1,1,1,1,Real Estate,10335911201,3,NA,0,Very Dissatisfied
1/14/2013,Plumbing,CA,1,NA,NA,NA,NA,NA,NA,4,4,Real Estate,10335576401,8,NA,0,Satisfied
1/15/2013,Plumbing,OH,1,5,5,5,5,5,5,5,4,Renewal,10309000102,10,NA,0,Very Satisfied
1/15/2013,Appliance,TX,2,NA,NA,NA,NA,NA,NA,3,3,Renewal,10295302603,6,NA,0,Neutral
1/15/2013,Air Conditioning,CA,1,2,3,3,3,1,1,4,3,Renewal,10278554003,5,NA,0,Satisfied
1/15/2013,M,UT,1,4,4,4,4,4,4,4,3,Real Estate,10355096101,9,NA,0,Satisfied
1/15/2013,Air Conditioning,CA,1,5,3,3,5,5,3,5,5,Renewal,10312775602,10,NA,0,Very Satisfied
1/15/2013,Plumbing,OR,1,4,3,5,5,5,4,3,4,Real Estate,10355934701,8,NA,0,Neutral
1/15/2013,Plumbing,CA,2,4,1,1,1,1,1,1,1,Renewal,10321874202,0,NA,0,Very Dissatisfied
1/15/2013,M,NC,1,5,5,5,5,5,5,5,1,Real Estate,10331656901,7,NA,0,Very Satisfied
1/16/2013,Plumbing,AZ,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10359928601,9,NA,0,Satisfied
1/16/2013,Air Conditioning,TN,1,5,5,5,5,5,4,5,2,Real Estate,10331669901,9,NA,0,Very Satisfied
1/16/2013,Plumbing,AZ,1,4,4,2,3,3,4,3,2,Direct To Consumer,10335263701,3,NA,0,Neutral
1/16/2013,Plumbing,PA,1,1,1,1,9,4,9,1,1,Direct To Consumer,10348532401,0,NA,0,Very Dissatisfied
1/16/2013,Air Conditioning,CA,1,5,5,5,5,5,5,5,5,Renewal,10187729315,10,NA,0,Very Satisfied
1/16/2013,Plumbing,MD,2,4,2,2,2,2,2,2,2,Renewal,10314368602,5,NA,0,Dissatisfied
1/16/2013,Appliance,ID,1,5,4,5,5,5,9,5,2,Real Estate,10333808201,9,NA,0,Very Satisfied
1/16/2013,M,AZ,1,5,5,5,5,5,5,5,5,Direct To Consumer,10340643501,10,NA,0,Very Satisfied
1/16/2013,M,CA,1,5,5,5,4,5,5,4,3,Real Estate,10353230101,7,NA,0,Satisfied
1/16/2013,Appliance,CA,2,4,1,1,3,3,1,1,1,Renewal,10264511504,0,NA,0,Very Dissatisfied
1/16/2013,Air Conditioning,UT,2,2,1,1,9,9,1,1,1,Real Estate,10353467401,1,NA,0,Very Dissatisfied
1/16/2013,Plumbing,CA,1,5,5,5,5,5,3,2,1,Real Estate,10360271701,1,NA,0,Dissatisfied
1/16/2013,Air Conditioning,FL,1,NA,NA,NA,NA,NA,NA,2,NA,Direct To Consumer,10345176901,0,NA,0,Dissatisfied
1/16/2013,Air Conditioning,CA,1,5,5,5,5,5,5,5,5,Renewal,10248651805,9,NA,0,Very Satisfied
1/16/2013,Air Conditioning,CA,1,4,1,4,4,2,1,2,2,Real Estate,10337220601,2,NA,0,Dissatisfied
1/16/2013,Plumbing,MS,1,1,1,4,5,5,1,3,1,Renewal,10303969803,2,NA,0,Neutral
1/16/2013,M,TX,1,5,5,5,5,5,5,5,1,Renewal,10280611403,7,NA,0,Very Satisfied
1/16/2013,Air Conditioning,MO,1,4,4,5,5,5,3,4,1,Real Estate,10332216201,8,NA,0,Satisfied
1/16/2013,M,OK,2,4,1,1,1,3,1,1,1,Real Estate,10346342601,0,NA,0,Very Dissatisfied
1/16/2013,Air Conditioning,CA,1,5,4,1,3,2,4,5,1,Renewal,10281937203,3,NA,0,Very Satisfied
1/16/2013,M,CA,2,5,5,2,2,1,3,2,3,Renewal,10167176907,8,NA,0,Dissatisfied
1/17/2013,M,HI,1,5,5,5,5,9,2,5,1,Direct To Consumer,10331015201,6,NA,0,Very Satisfied
1/17/2013,Plumbing,TX,1,1,1,1,1,1,1,1,1,Real Estate,10346995501,0,NA,0,Very Dissatisfied
1/17/2013,Appliance,VA,1,5,5,5,5,5,3,5,3,Real Estate,10340688301,9,NA,0,Very Satisfied
1/17/2013,Plumbing,NV,1,5,5,5,4,1,1,4,4,Direct To Consumer,10341015301,8,NA,0,Satisfied
1/17/2013,Plumbing,TX,2,1,1,1,1,1,1,1,1,Direct To Consumer,10352761801,0,NA,0,Very Dissatisfied
1/17/2013,M,TX,2,5,5,5,5,5,5,5,5,Real Estate,10359866301,10,NA,0,Very Satisfied
1/17/2013,Plumbing,TX,1,5,4,5,4,2,3,4,3,Real Estate,10345592401,8,NA,0,Satisfied
1/17/2013,Pool or Spa,NV,2,NA,NA,NA,NA,NA,NA,NA,NA,Renewal,10276984204,NA,NA,0,Very Dissatisfied
1/17/2013,Septic Tank,TX,2,4,3,9,9,9,4,3,3,Real Estate,10336441201,5,NA,0,Neutral
1/17/2013,Air Conditioning,TX,1,5,5,5,5,5,5,5,5,Real Estate,10344462701,10,NA,0,Very Satisfied
1/18/2013,Plumbing,KY,2,4,2,2,5,5,1,1,2,Real Estate,10354659201,2,NA,0,Very Dissatisfied
1/18/2013,Air Conditioning,CA,2,3,1,1,9,1,1,1,1,Renewal,10190349805,0,NA,0,Very Dissatisfied
1/18/2013,M,OK,1,5,5,4,5,5,5,5,4,Real Estate,10340686101,8,NA,0,Very Satisfied
1/18/2013,Garage Door Opener,CA,2,3,1,1,4,4,1,1,1,Real Estate,10348890301,2,NA,0,Very Dissatisfied
1/18/2013,Appliance,AZ,2,5,9,9,5,5,9,9,5,Real Estate,10332859901,8,NA,0,Very Dissatisfied
1/18/2013,Plumbing,TX,1,5,1,1,1,4,1,2,2,Real Estate,10343287101,3,NA,0,Dissatisfied
1/18/2013,Air Conditioning,CA,1,2,1,3,1,1,1,1,1,Direct To Consumer,10356465401,0,NA,0,Very Dissatisfied
1/18/2013,Plumbing,CA,2,5,1,1,1,1,1,1,1,Renewal,10299308902,0,NA,0,Very Dissatisfied
1/18/2013,Air Conditioning,MS,1,5,4,4,4,4,4,5,5,Renewal,10321838002,8,NA,0,Very Satisfied
1/18/2013,Electrical,TX,1,5,5,5,5,5,5,5,3,Real Estate,10348685701,10,NA,0,Very Satisfied
1/18/2013,M,MO,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10338637801,8,NA,0,Satisfied
1/18/2013,Air Conditioning,CO,1,NA,NA,NA,NA,NA,NA,4,NA,Real Estate,10350089601,7,NA,0,Satisfied
1/18/2013,Plumbing,OR,1,4,3,5,5,5,4,5,4,Real Estate,10358015201,97,NA,0,Very Satisfied
1/18/2013,Plumbing,CA,2,4,2,2,3,3,2,2,2,Renewal,10251936704,1,NA,0,Dissatisfied
1/18/2013,Appliance,ID,1,5,4,4,5,5,5,5,5,Real Estate,10360555101,10,NA,0,Very Satisfied
1/19/2013,Appliance,VA,2,1,1,1,1,1,1,1,1,Direct To Consumer,10357052801,97,NA,0,Very Dissatisfied
1/19/2013,Plumbing,CA,1,1,1,1,1,3,3,1,1,Real Estate,10360954401,0,NA,0,Very Dissatisfied
1/19/2013,Plumbing,AZ,2,4,3,2,4,3,4,1,4,Renewal,10312451402,8,NA,0,Very Dissatisfied
1/19/2013,M,CA,1,5,5,5,5,5,5,5,3,Direct To Consumer,10306837901,10,NA,0,Very Satisfied
1/19/2013,Air Conditioning,CA,2,1,1,1,1,1,1,1,1,Real Estate,10339859001,0,NA,0,Very Dissatisfied
1/20/2013,Appliance,TX,2,4,2,9,4,4,2,2,2,Renewal,10283112003,3,NA,0,Dissatisfied
1/20/2013,Electrical,CA,1,5,5,5,5,5,5,5,5,Renewal,10166077112,9,NA,0,Very Satisfied
1/20/2013,M,CA,1,5,1,5,9,2,4,5,5,Renewal,10289680303,9,NA,0,Very Satisfied
1/21/2013,Air Conditioning,MS,1,2,2,2,3,4,3,4,3,Real Estate,10348066401,8,NA,0,Satisfied
1/21/2013,Electrical,TN,1,4,4,5,5,5,4,5,1,Real Estate,10339768901,0,NA,0,Very Satisfied
1/21/2013,Air Conditioning,WY,1,1,1,3,5,5,1,1,1,Real Estate,10343619701,0,NA,0,Very Dissatisfied
1/21/2013,Appliance,CA,2,2,NA,NA,NA,NA,NA,1,2,Renewal,10171614914,97,NA,0,Very Dissatisfied
1/21/2013,Appliance,CA,2,5,1,1,3,2,1,2,3,Renewal,10287289303,4,NA,0,Dissatisfied
1/21/2013,Plumbing,CA,1,5,5,5,5,5,5,5,5,Real Estate,10349095601,10,NA,0,Very Satisfied
1/21/2013,Plumbing,CA,1,4,4,1,9,9,3,4,4,Real Estate,10355249501,8,NA,0,Satisfied
1/21/2013,Garage Door Opener,GA,1,4,4,4,4,4,4,5,4,Renewal,10292839403,8,NA,0,Very Satisfied
1/21/2013,Plumbing,CA,1,5,2,1,2,1,3,2,2,Renewal,10171103211,5,NA,0,Dissatisfied
1/21/2013,Air Conditioning,CA,1,5,5,5,5,5,4,5,2,Real Estate,10344980001,10,NA,0,Very Satisfied
1/21/2013,M,CA,2,5,5,5,5,5,5,3,5,Real Estate,10346643501,9,NA,0,Neutral
1/22/2013,Plumbing,CA,1,5,5,5,5,5,5,5,3,Real Estate,10338395001,10,NA,0,Very Satisfied
1/22/2013,Plumbing,CA,2,9,9,9,1,1,1,1,3,Real Estate,10355613601,6,NA,0,Very Dissatisfied
